20.94365494,0.370073416,37.787422,0.600935251,1725.3,118,7.7,-14,44.9046977,8.044824629,5000,0.982425723
14.66529041,0.370593558,37.7880996,1.366221502,1725.27,117.3,7.2,-21.3,44.9044163,7.774146515,4456.926143,0.93321154
14.70042491,0.370325576,37.7887767,2.229655917,1724.99,116.5,5.5,-28.7,44.9041441,6.605597124,3344.767804,0.828770613
13.4147101,0.369183704,37.7894614,3.170746702,1724.03,115.5,4,-35.4,44.9038784,5.881912681,2734.233807,0.725396044
4.574423574,0.3679808,37.7901455,3.724858605,1722.06,114.6,2.3,-37.7,44.9036233,5.385599166,2476.221255,0.645838993
5.161874484,0.367059344,37.7908375,3.682981861,1718.89,113.6,0.7,-40.3,44.9033748,5.059765676,2334.373852,0.588854099
3.297178199,0.369579271,37.7915401,3.683700739,1714.38,112.8,-0.8,-41.9,44.9031318,4.809467334,2251.41876,0.563508009
1.514007052,0.371978397,37.7922494,3.592780676,1708.38,111.9,-2.4,-42.7,44.9028962,4.697786351,2243.3461,0.554203926
1.543130979,0.371800016,37.7929583,3.299679969,1700.99,111,-3.9,-43.4,44.9026695,4.587196044,2241.626049,0.562885303
0.752960054,0.372133668,37.7936742,2.903336045,1692.09,110.1,-4.9,-43.8,44.9024497,4.781144621,2285.571902,0.619518343
